year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2011,red,Petite Verdot,209.2,2.6,211.8,851.7,2461.02,2096100
2011,red,Pinot Noir,11862.6,377.1,12239.7,28350.2,2902.47,82285700
2011,red,Sangiovese,89.5,36.5,126.0,845.2,2204.51,1863300
2011,red,Syrah-Shiraz,1773.1,19.1,1792.3,3614.0,2124.31,7677300
2011,red,Zinfandel,5216.8,81.1,5297.9,13101.0,2357.61,30887100
2011,white,Chardonnay,15424.1,895.2,16319.3,52374.4,1843.94,96575300
2011,white,French Colombard,35.6,0.0,35.6,86.3,519.38,44900
2011,white,Gewürztraminer,135.0,0.0,135.0,220.1,1451.86,319600
2011,white,Muscat Blanc,16.7,0.4,17.0,40.2,2062.50,83000
2011,white,Pinot Blanc,45.1,6.4,51.6,185.8,1730.81,321600
2011,white,Pinot Gris,476.2,1.5,477.7,1422.7,1635.34,2326600
2011,white,Sauvignon Blanc,2425.6,142.4,2568.1,8886.0,1368.74,12162700
2011,white,Semillon,127.4,0.3,127.7,437.0,2298.45,1004500
2011,white,Viognier,241.8,1.5,243.3,361.4,2282.41,824900
2011,white,White Riesling,37.2,0.0,37.2,206.4,1944.56,401400
2012,red,Cabernet Franc,662.3,2.4,664.7,1906.5,2325.46,4433500
2012,red,Cabernet Sauvignon,11904.5,119.4,12023.9,47194.0,2313.56,109186200
2012,red,Carignane,610.4,0.0,610.4,510.6,1879.74,959800
2012,red,Malbec,330.7,68.3,398.9,2469.2,2284.02,5639800
2012,red,Merlot,5137.2,1.0,5138.2,21627.6,1496.57,32367300
2012,red,Meunier,123.5,0.0,123.5,581.2,2735.16,1589700
2012,red,Petite Sirah,587.9,10.5,598.4,3149.1,2424.27,7634300
2012,red,Petite Verdot,210.7,0.6,211.3,1162.6,2669.78,3103900
2012,red,Pinot Noir,12077.5,144.9,12222.4,52793.2,3014.62,159151500
2012,red,Sangiovese,91.0,36.5,127.5,1341.5,2270.04,3045300
2012,red,Syrah-Shiraz,1785.0,4.7,1789.7,5252.2,2148.20,11282800
2012,red,Zinfandel,5243.4,54.2,5297.6,21204.2,2419.54,51304500
2012,white,Chardonnay,15989.4,313.7,16303.1,81581.6,1893.66,154487900
2012,white,French Colombard,35.6,0.0,35.6,116.6,544.74,63600
2012,white,Gewürztraminer,135.0,0.0,135.0,640.0,1543.11,987600
2012,white,Muscat Blanc,16.7,13.0,29.7,101.6,1837.13,186700
2012,white,Pinot Blanc,51.6,1.0,52.6,368.8,1728.41,637500
2012,white,Pinot Gris,476.2,1.5,477.7,2701.0,1661.48,4487700
2012,white,Sauvignon Blanc,2475.9,98.3,2574.2,17159.4,1418.49,24340500
2012,white,Semillon,127.4,0.0,127.4,470.9,2063.69,971800
2012,white,Viognier,244.3,0.0,244.3,843.5,2251.74,1899400
2012,white,White Riesling,32.7,0.0,32.7,363.8,1864.34,678300
2013,red,Cabernet Franc,604.5,13.2,617.7,1917.8,2445.23,4689500
2013,red,Cabernet Sauvignon,11830.3,1070.8,12901.1,44255.8,2462.99,109001600
2013,red,Carignane,579.6,4.0,583.6,506.7,1870.18,947700
2013,red,Malbec,425.7,109.4,535.1,2706.6,2356.19,6377300
2013,red,Merlot,4619.9,27.3,4647.2,18784.5,1607.03,30187300
2013,red,Meunier,91.8,6.6,98.4,716.9,2285.40,1638500
2013,red,Petite Sirah,598.3,83.5,681.8,2856.8,2477.06,7076500
2013,red,Petite Verdot,236.9,30.5,267.4,1120.0,2840.39,3181300
2013,red,Pinot Noir,12539.3,948.1,13487.4,54826.8,3079.99,168866000
2013,red,Sangiovese,195.9,12.7,208.6,1141.1,2383.10,2719400
2013,red,Syrah-Shiraz,1731.9,7.0,1738.9,4835.8,2246.05,10861500
2013,red,Zinfandel,5139.0,159.8,5298.8,20172.3,2444.51,49311400
2013,white,Chardonnay,16045.2,819.3,16864.5,87883.5,1930.28,169639800
2013,white,French Colombard,34.4,0.0,34.4,188.9,629.49,119000
2013,white,Gewürztraminer,127.4,1.0,128.4,571.9,1494.03,854500
2013,white,Muscat Blanc,19.8,2.6,22.4,106.2,1956.71,207900
2013,white,Pinot Blanc,48.3,12.3,60.6,323.6,1265.85,409700
2013,white,Pinot Gris,431.4,4.9,436.3,2789.2,1665.50,4645500
2013,white,Sauvignon Blanc,2449.1,205.7,2654.8,19387.6,1469.84,28496700
2013,white,Semillon,116.8,0.2,117.0,450.4,1781.55,802500
2013,white,Viognier,228.6,7.6,236.2,987.1,2313.99,2284200
2013,white,White Riesling,43.5,0.0,43.5,336.2,1909.52,642000
2014,red,Cabernet Franc,571.8,15.8,587.6,1913.9,2669.35,5108900
2014,red,Cabernet Sauvignon,11689.7,1078.2,12767.9,45772.0,2614.37,119665000
2014,red,Carignane,178.8,1.0,179.8,478.8,1947.37,932500
2014,red,Malbec,491.0,41.8,532.8,2688.9,2427.49,6527300
2014,red,Merlot,4308.6,27.7,4336.2,16989.6,1651.47,28057900
2014,red,Meunier,88.8,6.6,95.4,607.6,2305.57,1400900
2014,red,Petite Sirah,630.1,55.1,685.2,2873.5,2548.12,7322100
2014,red,Petite Verdot,250.0,34.2,284.2,1251.1,2667.28,3337100
2014,red,Pinot Noir,12567.9,1014.4,13582.3,47677.2,3251.49,155022000
2014,red,Sangiovese,210.2,0.0,210.2,1211.9,2352.94,2851600
2014,red,Syrah-Shiraz,1649.5,9.8,1659.3,4642.6,2314.44,10745100
2014,red,Zinfandel,5015.8,112.1,5127.9,15597.2,2543.78,39675900
2014,white,Chardonnay,15607.6,776.8,16384.5,87380.5,1990.38,173920400
2014,white,French Colombard,34.4,0.0,34.4,166.8,601.79,100400
2014,white,Gewürztraminer,124.0,5.5,129.5,443.4,1505.66,667700
2014,white,Muscat Blanc,12.2,3.2,22.4,99.8,2321.27,231700
2014,white,Pinot Blanc,62.8,2.1,64.9,262.3,1551.72,407100
2014,white,Pinot Gris,417.3,4.9,422.2,2269.7,1686.67,3828300
2014,white,Sauvignon Blanc,2438.9,220.9,2659.8,17540.6,1532.51,26881200
2014,white,Semillon,101.0,0.0,101.0,556.1,1839.60,1023100
2014,white,Viognier,229.1,8.1,237.2,967.6,2296.93,2222600
2014,white,White Riesling,35.7,0.0,35.7,283.9,2102.85,597000
2015,red,Cabernet Franc,569.9,34.3,604.1,1357.8,2794.59,3794400
2015,red,Cabernet Sauvignon,11808.8,1014.7,12823.4,32947.3,2724.17,89754100
2015,red,Carignane,162.7,0.0,162.7,305.8,2195.62,671500
2015,red,Grenache,146.4,3.7,150.1,567.4,2901.69,1646500
2015,red,Malbec,540.5,12.9,553.4,1896.3,2636.24,4999200
2015,red,Merlot,4108.2,43.4,4151.6,12031.4,1717.25,20661000
